year,category,accidents,killed,injured
2019,National Highways,137191,53872,137584
2020,National Highways,116496,47984,116279
2021,National Highways,128825,53615,128911
2022,National Highways,151997,61038,144352
2023,National Highways,150177,63112,142755
2019,State Highways,111171,41461,110843
2020,State Highways,92251,35754,87184
2021,State Highways,96382,37963,92583
2022,State Highways,106682,41012,106485
2023,State Highways,105662,39439,107120
2019,Other Roads,204731,60936,200917
2020,Other Roads,160315,52378,149476
2021,Other Roads,187225,60002,174100
2022,Other Roads,202633,66441,192529
2023,Other Roads,224744,70339,212674
